홍수사상번호,연,월,일,시간,유입량,유역평균강수,강우(A지역),강우(B지역),강우(C지역),강우(D지역),수위(E지역),수위(D지역)
1,2006,7,13,24,3492.3,109.4,241.0,88.0,31.0,73.0,8.2,128.6
1,2006,7,14,1,3276.7,109.5,241.0,88.0,29.0,73.0,8.0,128.9
1,2006,7,14,2,3083.7,109.8,241.0,88.0,28.0,72.0,7.7,129.1
1,2006,7,14,3,2913.3,109.8,241.0,88.0,25.0,72.0,7.5,129.3
1,2006,7,14,4,2765.4,109.8,241.0,88.0,18.0,72.0,7.4,129.5
1,2006,7,14,5,2639.7,109.8,241.0,88.0,18.0,71.0,7.2,129.8
1,2006,7,14,6,2533.4,109.8,241.0,88.0,18.0,67.0,7.1,130.0
1,2006,7,14,7,2434.3,109.8,241.0,88.0,18.0,62.0,6.9,130.2
1,2006,7,14,8,2327.5,109.9,241.0,87.0,18.0,62.0,6.7,130.4
1,2006,7,14,9,2204.3,109.9,241.0,87.0,18.0,59.0,6.6,130.6
1,2006,7,14,10,2081.2,109.8,241.0,87.0,18.0,59.0,6.4,130.7
1,2006,7,14,11,1980.4,109.6,241.0,87.0,18.0,59.0,6.3,130.9
1,2006,7,14,12,1917.9,109.3,241.0,86.0,17.0,59.0,6.2,131.1
1,2006,7,14,13,1882.7,109.0,241.0,86.0,17.0,58.0,6.0,131.2
1,2006,7,14,14,1857.0,109.6,241.0,85.0,17.0,58.0,5.9,131.4
1,2006,7,14,15,1829.9,109.7,242.0,85.0,17.0,57.0,5.8,131.5
1,2006,7,14,16,1817.1,110.0,242.0,85.0,17.0,56.0,5.7,131.6
1,2006,7,14,17,1833.1,111.2,242.0,84.0,17.0,55.0,5.6,131.7
1,2006,7,14,18,1860.5,111.9,242.0,88.0,17.0,56.0,5.5,131.8
1,2006,7,14,19,1874.1,111.8,250.0,82.0,16.0,50.0,5.5,131.9
1,2006,7,14,20,1855.6,111.6,247.0,72.0,16.0,49.0,5.4,132.0
1,2006,7,14,21,1813.7,111.9,251.0,66.0,16.0,33.0,5.3,132.1
1,2006,7,14,22,1764.2,107.7,239.0,63.0,15.0,31.0,5.3,132.2
1,2006,7,14,23,1720.6,102.1,213.0,67.0,15.0,31.0,5.2,132.2
1,2006,7,14,24,1689.2,96.4,197.0,66.0,15.0,37.0,5.2,132.3
1,2006,7,15,1,1674.2,93.6,192.0,66.0,15.0,45.0,5.2,132.3
1,2006,7,15,2,1678.1,92.0,189.0,76.0,13.0,45.0,5.2,132.3
1,2006,7,15,3,1696.7,92.3,186.0,76.0,13.0,44.0,5.2,132.4
1,2006,7,15,4,1723.8,94.2,185.0,74.0,10.0,50.0,5.3,132.4
1,2006,7,15,5,1752.6,95.1,183.0,74.0,10.0,48.0,5.4,132.4
1,2006,7,15,6,1773.5,92.9,185.0,75.0,10.0,49.0,5.4,132.4
1,2006,7,15,7,1776.2,88.9,179.0,73.0,10.0,49.0,5.4,132.4
1,2006,7,15,8,1754.7,88.0,177.0,73.0,10.0,50.0,5.5,132.4
1,2006,7,15,9,1720.4,88.2,177.0,65.0,10.0,49.0,5.5,132.4
1,2006,7,15,10,1688.9,86.9,172.0,49.0,4.0,49.0,5.5,132.3
1,2006,7,15,11,1674.5,86.3,173.0,48.0,3.0,49.0,5.5,132.3
1,2006,7,15,12,1684.9,82.0,169.0,50.0,3.0,48.0,5.5,132.3
1,2006,7,15,13,1726.6,77.6,165.0,57.0,3.0,40.0,5.6,132.3
1,2006,7,15,14,1799.3,83.5,161.0,61.0,3.0,35.0,5.8,132.3
1,2006,7,15,15,1876.7,86.7,159.0,71.0,3.0,35.0,6.0,132.2
1,2006,7,15,16,1926.0,94.6,153.0,107.0,3.0,38.0,6.1,132.2
1,2006,7,15,17,1999.9,104.0,171.0,122.0,3.0,45.0,6.2,132.2
1,2006,7,15,18,2492.9,113.3,168.0,126.0,7.0,54.0,6.3,132.1
1,2006,7,15,19,3744.2,118.0,164.0,127.0,12.0,59.0,6.4,132.1
1,2006,7,15,20,5530.6,121.2,162.0,128.0,24.0,76.0,7.6,132.1
1,2006,7,15,21,7488.0,122.2,216.0,128.0,24.0,77.0,9.9,132.0
1,2006,7,15,22,9277.4,123.9,215.0,129.0,25.0,79.0,12.0,132.0
1,2006,7,15,23,10658.2,124.8,212.0,129.0,28.0,81.0,13.4,131.9
1,2006,7,15,24,11414.7,126.3,212.0,139.0,30.0,82.0,13.7,131.9
1,2006,7,16,1,11421.6,130.3,212.0,144.0,31.0,82.0,13.7,131.9
1,2006,7,16,2,10914.4,135.7,197.0,160.0,37.0,91.0,13.4,131.9
1,2006,7,16,3,10218.9,140.7,197.0,172.0,38.0,107.0,13.1,132.0
1,2006,7,16,4,9634.0,143.9,197.0,200.0,41.0,110.0,12.6,132.0
1,2006,7,16,5,9351.7,150.2,195.0,230.0,45.0,111.0,12.0,132.1
1,2006,7,16,6,9536.9,158.9,195.0,247.0,45.0,116.0,11.5,132.3
1,2006,7,16,7,10306.8,171.1,195.0,268.0,46.0,123.0,11.3,132.4
1,2006,7,16,8,11588.1,186.3,195.0,278.0,46.0,130.0,11.4,132.6
1,2006,7,16,9,13259.7,204.8,195.0,284.0,47.0,146.0,12.1,132.8
1,2006,7,16,10,15180.1,217.4,195.0,290.0,47.0,172.0,13.4,133.0
1,2006,7,16,11,17127.3,225.0,195.0,300.0,66.0,182.0,14.6,133.2
1,2006,7,16,12,18858.7,234.4,195.0,317.0,81.0,183.0,15.5,133.5
1,2006,7,16,13,20174.2,246.4,195.0,328.0,88.0,187.0,16.1,133.8
1,2006,7,16,14,21043.2,261.6,195.0,339.0,101.0,202.0,16.5,134.1
1,2006,7,16,15,21477.1,274.2,195.0,346.0,115.0,217.0,16.5,134.4
1,2006,7,16,16,21504.4,285.0,195.0,350.0,131.0,221.0,16.5,134.8
1,2006,7,16,17,21220.3,294.7,196.0,353.0,139.0,235.0,16.6,135.2
1,2006,7,16,18,20718.8,301.0,214.0,357.0,148.0,240.0,16.6,135.7
1,2006,7,16,19,20020.6,306.9,215.0,364.0,180.0,237.0,16.7,136.1
1,2006,7,16,20,19128.5,314.5,218.0,366.0,190.0,243.0,16.6,136.6
1,2006,7,16,21,18050.9,320.6,224.0,366.0,205.0,249.0,16.5,137.0
1,2006,7,16,22,16819.4,325.1,226.0,367.0,217.0,247.0,16.1,137.5
1,2006,7,16,23,15471.3,326.8,227.0,367.0,226.0,251.0,15.5,138.0
1,2006,7,16,24,14052.7,327.2,226.0,367.0,234.0,252.0,14.8,138.5
1,2006,7,17,1,12645.5,328.1,226.0,367.0,238.0,253.0,14.1,139.0
1,2006,7,17,2,11340.6,328.4,226.0,360.0,242.0,252.0,13.4,139.5
1,2006,7,17,3,10209.6,327.1,226.0,361.0,245.0,253.0,12.7,140.0
1,2006,7,17,4,9248.0,326.2,217.0,358.0,246.0,253.0,12.1,140.5
1,2006,7,17,5,8432.1,327.2,218.0,360.0,247.0,254.0,11.5,141.0
1,2006,7,17,6,7739.4,327.8,213.0,362.0,247.0,255.0,11.0,141.4
1,2006,7,17,7,7152.9,325.0,214.0,360.0,251.0,258.0,10.6,141.9
1,2006,7,17,8,6656.8,325.1,215.0,361.0,253.0,261.0,10.2,142.2
1,2006,7,17,9,6236.7,325.6,219.0,360.0,250.0,262.0,9.9,142.6
1,2006,7,17,10,5884.7,326.2,222.0,352.0,243.0,259.0,9.6,142.9
1,2006,7,17,11,5594.3,327.3,225.0,354.0,231.0,252.0,9.3,143.1
1,2006,7,17,12,5358.5,328.4,226.0,355.0,231.0,244.0,9.1,143.3
1,2006,7,17,13,5167.1,328.3,226.0,355.0,233.0,240.0,8.9,143.5
1,2006,7,17,14,5009.6,325.4,228.0,354.0,231.0,228.0,8.7,143.7
1,2006,7,17,15,4877.1,323.3,203.0,355.0,234.0,228.0,8.5,143.8
1,2006,7,17,16,4769.8,321.6,200.0,352.0,235.0,226.0,8.4,143.8
1,2006,7,17,17,4689.7,321.3,199.0,349.0,229.0,224.0,8.3,143.9
1,2006,7,17,18,4635.5,321.3,199.0,347.0,228.0,223.0,8.2,143.9
1,2006,7,17,19,4593.5,321.0,199.0,348.0,225.0,223.0,8.1,143.9
1,2006,7,17,20,4550.9,321.1,197.0,348.0,222.0,215.0,7.9,143.8
1,2006,7,17,21,4513.8,320.9,201.0,342.0,226.0,200.0,7.8,143.8
1,2006,7,17,22,4492.6,322.4,201.0,340.0,228.0,198.0,7.8,143.7
1,2006,7,17,23,4495.5,324.2,197.0,332.0,234.0,198.0,7.7,143.7
1,2006,7,17,24,4522.1,317.7,198.0,300.0,237.0,200.0,7.6,143.6
1,2006,7,18,1,4569.9,312.4,175.0,289.0,241.0,201.0,7.6,143.5
1,2006,7,18,2,4635.2,302.4,151.0,289.0,223.0,196.0,7.5,143.4
1,2006,7,18,3,4709.4,290.7,155.0,293.0,209.0,182.0,7.5,143.3
1,2006,7,18,4,4783.0,281.8,159.0,297.0,204.0,157.0,7.5,143.2
1,2006,7,18,5,4849.4,280.6,164.0,302.0,192.0,148.0,7.6,143.1
1,2006,7,18,6,4914.1,281.7,97.0,306.0,182.0,153.0,7.7,143.0
1,2006,7,18,7,4985.7,284.4,103.0,309.0,170.0,154.0,7.9,142.9
1,2006,7,18,8,5072.3,284.8,108.0,302.0,169.0,148.0,8.0,142.8
1,2006,7,18,9,5181.0,286.9,114.0,293.0,168.0,134.0,8.2,142.7
1,2006,7,18,10,5318.3,287.7,119.0,279.0,137.0,125.0,8.4,142.6
1,2006,7,18,11,5485.3,286.5,123.0,268.0,128.0,112.0,8.6,142.5
1,2006,7,18,12,5660.6,283.3,127.0,241.0,114.0,102.0,8.8,142.4
1,2006,7,18,13,5817.5,278.3,131.0,213.0,103.0,99.0,9.1,142.4
1,2006,7,18,14,5934.6,272.9,132.0,196.0,97.0,94.0,9.2,142.3
1,2006,7,18,15,6012.3,266.4,134.0,177.0,92.0,89.0,9.3,142.2
1,2006,7,18,16,6056.6,258.0,137.0,169.0,87.0,84.0,9.3,142.2
1,2006,7,18,17,6072.4,246.7,140.0,165.0,85.0,80.0,9.3,142.1
1,2006,7,18,18,6059.8,232.6,141.0,159.0,82.0,78.0,9.3,142.1
1,2006,7,18,19,6017.9,216.3,142.0,149.0,82.0,78.0,9.3,142.1
1,2006,7,18,20,5942.3,205.9,143.0,135.0,81.0,84.0,9.2,142.0
1,2006,7,18,21,5814.4,198.9,144.0,125.0,86.0,83.0,9.1,142.0
1,2006,7,18,22,5623.5,191.8,145.0,115.0,86.0,84.0,9.0,142.0
1,2006,7,18,23,5405.3,182.1,145.0,111.0,85.0,86.0,8.8,142.0
1,2006,7,18,24,5207.0,168.7,150.0,108.0,90.0,87.0,8.7,142.0
1,2006,7,19,1,5062.3,158.2,153.0,108.0,94.0,84.0,8.6,142.0
1,2006,7,19,2,4951.8,149.6,155.0,106.0,96.0,83.0,8.5,142.0
1,2006,7,19,3,4842.7,142.4,141.0,99.0,97.0,84.0,8.3,142.0
1,2006,7,19,4,4711.1,137.6,142.0,97.0,96.0,87.0,8.2,142.0
1,2006,7,19,5,4568.5,132.4,139.0,98.0,97.0,88.0,8.1,142.0
1,2006,7,19,6,4435.8,124.9,133.0,97.0,94.0,88.0,8.0,142.0
1,2006,7,19,7,4327.9,119.0,130.0,97.0,93.0,87.0,8.0,142.0
1,2006,7,19,8,4237.4,114.6,129.0,97.0,93.0,83.0,7.9,142.0
1,2006,7,19,9,4151.1,113.0,129.0,97.0,94.0,82.0,7.8,141.9
1,2006,7,19,10,4057.9,111.8,129.0,97.0,94.0,82.0,7.8,141.9
1,2006,7,19,11,3954.4,110.5,129.0,96.0,93.0,82.0,7.7,141.9
1,2006,7,19,12,3839.0,109.6,129.0,95.0,89.0,82.0,7.6,141.9
1,2006,7,19,13,3712.5,109.2,128.0,93.0,86.0,82.0,7.5,141.8
1,2006,7,19,14,3585.2,108.8,128.0,91.0,80.0,81.0,7.4,141.8
1,2006,7,19,15,3469.4,107.2,126.0,89.0,76.0,80.0,7.3,141.7
1,2006,7,19,16,3373.1,105.3,125.0,88.0,72.0,79.0,7.1,141.7
1,2006,7,19,17,3286.0,103.2,121.0,86.0,71.0,78.0,7.0,141.6
2,2006,7,25,24,324.0,0.0,0.0,1.0,0.0,0.0,2.9,134.4
2,2006,7,26,1,323.2,0.0,0.0,2.0,0.0,0.0,2.9,134.4
2,2006,7,26,2,293.2,0.5,0.0,2.0,0.0,0.0,2.9,134.4
2,2006,7,26,3,261.2,1.5,0.0,3.0,0.0,0.0,2.9,134.4
2,2006,7,26,4,256.4,2.6,1.0,4.0,1.0,1.0,2.9,134.4
2,2006,7,26,5,279.4,4.0,2.0,4.0,2.0,2.0,2.9,134.3
2,2006,7,26,6,319.9,5.4,6.0,5.0,3.0,3.0,2.9,134.3
2,2006,7,26,7,354.1,6.3,11.0,5.0,4.0,4.0,2.9,134.3
2,2006,7,26,8,363.7,6.6,11.0,7.0,4.0,6.0,2.9,134.3
2,2006,7,26,9,366.3,7.6,11.0,8.0,5.0,6.0,2.9,134.3
2,2006,7,26,10,381.6,9.8,11.0,11.0,5.0,7.0,2.9,134.2
2,2006,7,26,11,401.5,11.9,11.0,11.0,7.0,9.0,2.9,134.2
2,2006,7,26,12,412.0,14.8,13.0,11.0,11.0,11.0,2.9,134.2
2,2006,7,26,13,404.6,15.3,15.0,12.0,16.0,15.0,2.9,134.2
2,2006,7,26,14,373.2,16.8,16.0,12.0,18.0,15.0,2.9,134.2
2,2006,7,26,15,316.4,18.8,17.0,13.0,19.0,17.0,2.9,134.1
2,2006,7,26,16,240.9,19.8,20.0,13.0,24.0,19.0,2.9,134.1
2,2006,7,26,17,181.0,20.1,22.0,13.0,27.0,20.0,2.9,134.1
2,2006,7,26,18,166.3,20.2,22.0,13.0,29.0,20.0,2.9,134.1
2,2006,7,26,19,179.3,20.4,22.0,13.0,29.0,20.0,2.9,134.0
2,2006,7,26,20,196.8,20.5,22.0,13.0,30.0,20.0,2.9,134.0
2,2006,7,26,21,220.5,20.6,22.0,13.0,30.0,21.0,2.9,133.9
2,2006,7,26,22,252.1,20.9,22.0,13.0,31.0,21.0,2.9,133.8
2,2006,7,26,23,270.2,21.1,22.0,13.0,31.0,21.0,2.9,133.8
2,2006,7,26,24,257.2,21.1,22.0,13.0,31.0,21.0,2.9,133.7
2,2006,7,27,1,234.8,21.1,22.0,13.0,31.0,21.0,2.9,133.6
2,2006,7,27,2,227.0,21.1,22.0,13.0,31.0,21.0,2.9,133.4
2,2006,7,27,3,227.6,21.1,23.0,13.0,31.0,21.0,2.9,133.3
2,2006,7,27,4,227.7,21.1,23.0,13.0,31.0,21.0,2.9,133.2
2,2006,7,27,5,236.2,21.1,23.0,13.0,31.0,21.0,2.9,133.1
2,2006,7,27,6,259.6,21.1,23.0,13.0,31.0,21.0,2.9,132.9
2,2006,7,27,7,276.2,21.1,23.0,13.0,31.0,21.0,2.9,132.8
2,2006,7,27,8,266.3,21.3,23.0,13.0,31.0,21.0,2.9,132.6
2,2006,7,27,9,245.3,21.3,23.0,13.0,31.0,21.0,2.9,132.4
2,2006,7,27,10,233.7,21.3,23.0,13.0,31.0,21.0,2.9,132.3
2,2006,7,27,11,238.2,21.3,23.0,13.0,31.0,21.0,2.9,132.1
2,2006,7,27,12,261.1,21.4,23.0,13.0,31.0,21.0,2.9,131.9
2,2006,7,27,13,300.8,22.1,23.0,13.0,31.0,21.0,2.9,131.8
2,2006,7,27,14,350.2,22.7,24.0,13.0,31.0,22.0,2.9,131.6
2,2006,7,27,15,383.7,23.2,25.0,14.0,32.0,22.0,2.9,131.5
2,2006,7,27,16,378.6,24.0,25.0,14.0,32.0,22.0,2.9,131.4
2,2006,7,27,17,342.9,24.6,29.0,14.0,32.0,22.0,2.9,131.2
2,2006,7,27,18,295.2,24.9,31.0,19.0,32.0,22.0,2.9,131.1
2,2006,7,27,19,266.9,27.4,31.0,23.0,32.0,22.0,2.9,131.0
2,2006,7,27,20,281.2,32.4,33.0,23.0,31.0,24.0,2.9,130.9
2,2006,7,27,21,315.6,35.7,39.0,24.0,37.0,29.0,2.9,130.7
2,2006,7,27,22,348.4,38.4,56.0,25.0,37.0,28.0,2.9,130.6
2,2006,7,27,23,407.6,40.7,65.0,28.0,37.0,27.0,2.9,130.5
2,2006,7,27,24,526.4,45.4,72.0,29.0,36.0,26.0,2.9,130.4
2,2006,7,28,1,711.4,50.7,80.0,31.0,36.0,27.0,2.9,130.3
2,2006,7,28,2,961.3,54.8,93.0,32.0,38.0,25.0,2.9,130.2
2,2006,7,28,3,1272.3,58.5,103.0,49.0,34.0,26.0,2.9,130.2
2,2006,7,28,4,1634.2,62.5,106.0,56.0,29.0,27.0,3.0,130.1
2,2006,7,28,5,2014.8,72.1,116.0,62.0,27.0,26.0,3.0,130.0
2,2006,7,28,6,2423.8,79.7,116.0,72.0,26.0,47.0,3.2,130.0
2,2006,7,28,7,3059.7,85.3,116.0,76.0,32.0,61.0,3.5,129.9
2,2006,7,28,8,4067.0,91.4,118.0,87.0,46.0,73.0,4.7,129.9
2,2006,7,28,9,5185.2,97.8,122.0,90.0,50.0,76.0,5.3,129.8
2,2006,7,28,10,6094.2,106.8,125.0,93.0,56.0,87.0,5.6,129.8
2,2006,7,28,11,6637.2,113.3,128.0,94.0,63.0,98.0,5.9,129.8
2,2006,7,28,12,6750.3,117.1,130.0,94.0,75.0,101.0,6.2,129.9
2,2006,7,28,13,6575.8,120.7,135.0,96.0,95.0,107.0,6.6,129.9
2,2006,7,28,14,6282.7,123.6,139.0,100.0,96.0,110.0,6.9,130.0
2,2006,7,28,15,5942.1,126.6,142.0,106.0,110.0,111.0,7.2,130.0
2,2006,7,28,16,5600.4,128.7,140.0,108.0,114.0,112.0,7.5,130.1
2,2006,7,28,17,5305.5,131.1,144.0,110.0,121.0,115.0,7.7,130.3
2,2006,7,28,18,5099.5,134.1,149.0,107.0,123.0,118.0,8.1,130.4
2,2006,7,28,19,5001.2,135.0,153.0,107.0,126.0,122.0,8.4,130.6
2,2006,7,28,20,5032.9,134.1,156.0,108.0,130.0,123.0,8.8,130.8
2,2006,7,28,21,5255.9,133.1,157.0,107.0,131.0,123.0,8.8,130.9
2,2006,7,28,22,5681.9,131.8,160.0,107.0,131.0,124.0,8.7,131.2
2,2006,7,28,23,6087.7,132.6,163.0,106.0,132.0,124.0,8.7,131.4
2,2006,7,28,24,6239.6,131.3,167.0,106.0,132.0,126.0,8.6,131.6
2,2006,7,29,1,6098.7,130.4,164.0,106.0,132.0,126.0,8.5,131.8
2,2006,7,29,2,5707.0,130.9,162.0,106.0,133.0,127.0,8.4,132.1
2,2006,7,29,3,5238.3,132.1,162.0,107.0,136.0,127.0,8.3,132.4
2,2006,7,29,4,4871.5,135.4,162.0,107.0,139.0,127.0,8.2,132.6
2,2006,7,29,5,4676.0,137.9,162.0,115.0,146.0,127.0,8.0,132.9
2,2006,7,29,6,4710.6,142.4,163.0,119.0,157.0,127.0,8.0,133.1
2,2006,7,29,7,5101.4,149.0,165.0,119.0,158.0,127.0,8.0,133.4
2,2006,7,29,8,5905.2,153.1,165.0,126.0,160.0,144.0,8.1,133.7
2,2006,7,29,9,6834.7,157.5,169.0,127.0,160.0,156.0,8.3,133.9
2,2006,7,29,10,7558.1,163.0,169.0,128.0,159.0,156.0,8.6,134.1
2,2006,7,29,11,7909.5,169.5,179.0,128.0,160.0,168.0,9.2,134.4
2,2006,7,29,12,7818.6,176.1,183.0,128.0,153.0,176.0,9.7,134.6
2,2006,7,29,13,7430.7,180.2,183.0,128.0,153.0,184.0,9.7,134.8
2,2006,7,29,14,6928.1,182.7,183.0,128.0,156.0,186.0,9.6,135.1
2,2006,7,29,15,6425.7,184.3,183.0,128.0,157.0,188.0,9.5,135.3
2,2006,7,29,16,5993.7,185.5,183.0,128.0,159.0,192.0,9.4,135.5
2,2006,7,29,17,5592.0,186.6,183.0,128.0,157.0,194.0,9.2,135.8
