num,year,month,day,time,flow,mean_rain,rain_A,rain_B,rain_C,rain_D,waterLevel_E,waterLevel_D
1.0,2006.0,7.0,13.0,18.0,5102.829996,106.6,239,88,25,61,9.78,127.35625
1.0,2006.0,7.0,13.0,19.0,4831.203347,108.3,239,88,32,69,9.45,127.54375
1.0,2006.0,7.0,13.0,20.0,4547.392841,108.9,241,88,33,74,9.17,127.75
1.0,2006.0,7.0,13.0,21.0,4264.156381,109.2,241,88,32,74,8.88,127.96875
1.0,2006.0,7.0,13.0,22.0,3989.51959,109.5,241,88,32,74,8.62,128.19375
1.0,2006.0,7.0,13.0,23.0,3730.32502,109.4,241,88,32,73,8.4,128.41875
1.0,2006.0,7.0,13.0,24.0,3492.29881,109.4,241,88,31,73,8.19,128.64375
1.0,2006.0,7.0,14.0,1.0,3276.701446,109.5,241,88,29,73,7.97,128.86875
1.0,2006.0,7.0,14.0,2.0,3083.677002,109.8,241,88,28,72,7.74,129.09375
1.0,2006.0,7.0,14.0,3.0,2913.301703,109.8,241,88,25,72,7.52,129.31875
1.0,2006.0,7.0,14.0,4.0,2765.380394,109.8,241,88,18,72,7.35,129.5375
1.0,2006.0,7.0,14.0,5.0,2639.650075,109.8,241,88,18,71,7.22,129.75
1.0,2006.0,7.0,14.0,6.0,2533.421938,109.8,241,88,18,67,7.07,129.9625
1.0,2006.0,7.0,14.0,7.0,2434.303935,109.8,241,88,18,62,6.91,130.16875
1.0,2006.0,7.0,14.0,8.0,2327.478212,109.9,241,87,18,62,6.74,130.36875
1.0,2006.0,7.0,14.0,9.0,2204.343678,109.9,241,87,18,59,6.57,130.55625
1.0,2006.0,7.0,14.0,10.0,2081.166295,109.8,241,87,18,59,6.43,130.73125
1.0,2006.0,7.0,14.0,11.0,1980.428786,109.6,241,87,18,59,6.29,130.9125
1.0,2006.0,7.0,14.0,12.0,1917.921884,109.3,241,86,17,59,6.16,131.075
1.0,2006.0,7.0,14.0,13.0,1882.668349,109.0,241,86,17,58,6.04,131.21875
1.0,2006.0,7.0,14.0,14.0,1856.99895,109.6,241,85,17,58,5.92,131.35625
1.0,2006.0,7.0,14.0,15.0,1829.918822,109.7,242,85,17,57,5.82,131.4875
1.0,2006.0,7.0,14.0,16.0,1817.13056,110.0,242,85,17,56,5.72,131.60625
1.0,2006.0,7.0,14.0,17.0,1833.079388,111.2,242,84,17,55,5.63,131.71875
1.0,2006.0,7.0,14.0,18.0,1860.483572,111.9,242,88,17,56,5.53,131.825
1.0,2006.0,7.0,14.0,19.0,1874.129638,111.8,250,82,16,50,5.46,131.9125
1.0,2006.0,7.0,14.0,20.0,1855.610625,111.6,247,72,16,49,5.4,132.0
1.0,2006.0,7.0,14.0,21.0,1813.74562,111.9,251,66,16,33,5.33,132.08125
1.0,2006.0,7.0,14.0,22.0,1764.160221,107.7,239,63,15,31,5.26,132.15
1.0,2006.0,7.0,14.0,23.0,1720.585244,102.1,213,67,15,31,5.19,132.20625
1.0,2006.0,7.0,14.0,24.0,1689.172367,96.4,197,66,15,37,5.17,132.25625
1.0,2006.0,7.0,15.0,1.0,1674.178489,93.6,192,66,15,45,5.15,132.3
1.0,2006.0,7.0,15.0,2.0,1678.137501,92.0,189,76,13,45,5.15,132.3375
1.0,2006.0,7.0,15.0,3.0,1696.691286,92.3,186,76,13,44,5.18,132.35625
1.0,2006.0,7.0,15.0,4.0,1723.758722,94.2,185,74,10,50,5.26,132.36875
1.0,2006.0,7.0,15.0,5.0,1752.552366,95.1,183,74,10,48,5.35,132.38125
1.0,2006.0,7.0,15.0,6.0,1773.459484,92.9,185,75,10,49,5.41,132.3875
1.0,2006.0,7.0,15.0,7.0,1776.161022,88.9,179,73,10,49,5.43,132.38125
1.0,2006.0,7.0,15.0,8.0,1754.674031,88.0,177,73,10,50,5.46,132.375
1.0,2006.0,7.0,15.0,9.0,1720.359987,88.2,177,65,10,49,5.49,132.3625
1.0,2006.0,7.0,15.0,10.0,1688.916475,86.9,172,49,4,49,5.5,132.34375
1.0,2006.0,7.0,15.0,11.0,1674.478443,86.3,173,48,3,49,5.5,132.33125
1.0,2006.0,7.0,15.0,12.0,1684.930304,82.0,169,50,3,48,5.52,132.30625
1.0,2006.0,7.0,15.0,13.0,1726.593837,77.6,165,57,3,40,5.6,132.28125
1.0,2006.0,7.0,15.0,14.0,1799.26964,83.5,161,61,3,35,5.82,132.25
1.0,2006.0,7.0,15.0,15.0,1876.673598,86.7,159,71,3,35,6.04,132.225
1.0,2006.0,7.0,15.0,16.0,1926.000417,94.6,153,107,3,38,6.14,132.19375
1.0,2006.0,7.0,15.0,17.0,1999.903357,104.0,171,122,3,45,6.17,132.1625
1.0,2006.0,7.0,15.0,18.0,2492.869896,113.3,168,126,7,54,6.27,132.125
1.0,2006.0,7.0,15.0,19.0,3744.195564,118.0,164,127,12,59,6.43,132.0875
1.0,2006.0,7.0,15.0,20.0,5530.573882,121.2,162,128,24,76,7.55,132.05
1.0,2006.0,7.0,15.0,21.0,7488.047869,122.2,216,128,24,77,9.91,132.00625
1.0,2006.0,7.0,15.0,22.0,9277.372727,123.9,215,129,25,79,12.03,131.9625
1.0,2006.0,7.0,15.0,23.0,10658.15238,124.8,212,129,28,81,13.42,131.93125
1.0,2006.0,7.0,15.0,24.0,11414.70295,126.3,212,139,30,82,13.72,131.90625
1.0,2006.0,7.0,16.0,1.0,11421.58913,130.3,212,144,31,82,13.73,131.9
1.0,2006.0,7.0,16.0,2.0,10914.37006,135.7,197,160,37,91,13.44,131.9125
1.0,2006.0,7.0,16.0,3.0,10218.85346,140.7,197,172,38,107,13.07,131.95625
1.0,2006.0,7.0,16.0,4.0,9634.043068,143.9,197,200,41,110,12.55,132.03125
1.0,2006.0,7.0,16.0,5.0,9351.726692,150.2,195,230,45,111,12.03,132.13125
1.0,2006.0,7.0,16.0,6.0,9536.888156,158.9,195,247,45,116,11.54,132.2625
1.0,2006.0,7.0,16.0,7.0,10306.82928,171.1,195,268,46,123,11.29,132.4125
1.0,2006.0,7.0,16.0,8.0,11588.12383,186.3,195,278,46,130,11.35,132.5875
1.0,2006.0,7.0,16.0,9.0,13259.6636,204.8,195,284,47,146,12.09,132.78125
1.0,2006.0,7.0,16.0,10.0,15180.11774,217.4,195,290,47,172,13.39,132.99375
1.0,2006.0,7.0,16.0,11.0,17127.26494,225.0,195,300,66,182,14.57,133.23125
1.0,2006.0,7.0,16.0,12.0,18858.6613,234.4,195,317,81,183,15.47,133.4875
1.0,2006.0,7.0,16.0,13.0,20174.20355,246.4,195,328,88,187,16.14,133.775
1.0,2006.0,7.0,16.0,14.0,21043.15105,261.6,195,339,101,202,16.46,134.09375
1.0,2006.0,7.0,16.0,15.0,21477.10381,274.2,195,346,115,217,16.53,134.44375
1.0,2006.0,7.0,16.0,16.0,21504.40226,285.0,195,350,131,221,16.54,134.825
1.0,2006.0,7.0,16.0,17.0,21220.34846,294.7,196,353,139,235,16.64,135.23125
1.0,2006.0,7.0,16.0,18.0,20718.7612,301.0,214,357,148,240,16.64,135.6625
1.0,2006.0,7.0,16.0,19.0,20020.56473,306.9,215,364,180,237,16.72,136.1
1.0,2006.0,7.0,16.0,20.0,19128.45963,314.5,218,366,190,243,16.6,136.55
1.0,2006.0,7.0,16.0,21.0,18050.90878,320.6,224,366,205,249,16.5,137.0125
1.0,2006.0,7.0,16.0,22.0,16819.42433,325.1,226,367,217,247,16.09,137.49375
1.0,2006.0,7.0,16.0,23.0,15471.28072,326.8,227,367,226,251,15.52,137.9875
1.0,2006.0,7.0,16.0,24.0,14052.67539,327.2,226,367,234,252,14.79,138.4875
1.0,2006.0,7.0,17.0,1.0,12645.49781,328.1,226,367,238,253,14.07,138.9875
1.0,2006.0,7.0,17.0,2.0,11340.56043,328.4,226,360,242,252,13.36,139.49375
1.0,2006.0,7.0,17.0,3.0,10209.59216,327.1,226,361,245,253,12.71,140.0
1.0,2006.0,7.0,17.0,4.0,9247.987689,326.2,217,358,246,253,12.1,140.5
1.0,2006.0,7.0,17.0,5.0,8432.058148,327.2,218,360,247,254,11.52,140.98125
1.0,2006.0,7.0,17.0,6.0,7739.424592,327.8,213,362,247,255,11.02,141.4375
1.0,2006.0,7.0,17.0,7.0,7152.947762,325.0,214,360,251,258,10.59,141.85625
1.0,2006.0,7.0,17.0,8.0,6656.798321,325.1,215,361,253,261,10.24,142.2375
1.0,2006.0,7.0,17.0,9.0,6236.714553,325.6,219,360,250,262,9.91,142.575
1.0,2006.0,7.0,17.0,10.0,5884.705227,326.2,222,352,243,259,9.57,142.86875
1.0,2006.0,7.0,17.0,11.0,5594.34673,327.3,225,354,231,252,9.33,143.125
1.0,2006.0,7.0,17.0,12.0,5358.497749,328.4,226,355,231,244,9.11,143.34375
1.0,2006.0,7.0,17.0,13.0,5167.14616,328.3,226,355,233,240,8.88,143.525
1.0,2006.0,7.0,17.0,14.0,5009.562135,325.4,228,354,231,228,8.72,143.6625
1.0,2006.0,7.0,17.0,15.0,4877.147403,323.3,203,355,234,228,8.54,143.7625
1.0,2006.0,7.0,17.0,16.0,4769.829906,321.6,200,352,235,226,8.41,143.83125
1.0,2006.0,7.0,17.0,17.0,4689.669141,321.3,199,349,229,224,8.25,143.875
1.0,2006.0,7.0,17.0,18.0,4635.525424,321.3,199,347,228,223,8.15,143.8875
1.0,2006.0,7.0,17.0,19.0,4593.462339,321.0,199,348,225,223,8.07,143.875
1.0,2006.0,7.0,17.0,20.0,4550.943123,321.1,197,348,222,215,7.93,143.84375
1.0,2006.0,7.0,17.0,21.0,4513.826347,320.9,201,342,226,200,7.81,143.8
1.0,2006.0,7.0,17.0,22.0,4492.569416,322.4,201,340,228,198,7.75,143.7375
1.0,2006.0,7.0,17.0,23.0,4495.458857,324.2,197,332,234,198,7.69,143.66875
1.0,2006.0,7.0,17.0,24.0,4522.097697,317.7,198,300,237,200,7.64,143.59375
1.0,2006.0,7.0,18.0,1.0,4569.918084,312.4,175,289,241,201,7.58,143.5125
1.0,2006.0,7.0,18.0,2.0,4635.176268,302.4,151,289,223,196,7.53,143.425
1.0,2006.0,7.0,18.0,3.0,4709.424905,290.7,155,293,209,182,7.49,143.33125
1.0,2006.0,7.0,18.0,4.0,4783.040753,281.8,159,297,204,157,7.5,143.23125
1.0,2006.0,7.0,18.0,5.0,4849.43107,280.6,164,302,192,148,7.59,143.13125
1.0,2006.0,7.0,18.0,6.0,4914.12512,281.7,97,306,182,153,7.71,143.025
1.0,2006.0,7.0,18.0,7.0,4985.682671,284.4,103,309,170,154,7.86,142.925
1.0,2006.0,7.0,18.0,8.0,5072.337093,284.8,108,302,169,148,8.04,142.825
1.0,2006.0,7.0,18.0,9.0,5181.016169,286.9,114,293,168,134,8.21,142.66875
1.0,2006.0,7.0,18.0,10.0,5318.321285,287.7,119,279,137,125,8.42,142.58125
1.0,2006.0,7.0,18.0,11.0,5485.279964,286.5,123,268,128,112,8.61,142.5
1.0,2006.0,7.0,18.0,12.0,5660.624275,283.3,127,241,114,102,8.81,142.425
1.0,2006.0,7.0,18.0,13.0,5817.512421,278.3,131,213,103,99,9.08,142.35
1.0,2006.0,7.0,18.0,14.0,5934.568725,272.9,132,196,97,94,9.22,142.2875
1.0,2006.0,7.0,18.0,15.0,6012.28199,266.4,134,177,92,89,9.3,142.23125
1.0,2006.0,7.0,18.0,16.0,6056.607138,258.0,137,169,87,84,9.34,142.18125
1.0,2006.0,7.0,18.0,17.0,6072.353858,246.7,140,165,85,80,9.34,142.1375
1.0,2006.0,7.0,18.0,18.0,6059.750906,232.6,141,159,82,78,9.31,142.1
1.0,2006.0,7.0,18.0,19.0,6017.881808,216.3,142,149,82,78,9.28,142.06875
1.0,2006.0,7.0,18.0,20.0,5942.290677,205.9,143,135,81,84,9.21,142.04375
1.0,2006.0,7.0,18.0,21.0,5814.363983,198.9,144,125,86,83,9.1,142.01875
1.0,2006.0,7.0,18.0,22.0,5623.501978,191.8,145,115,86,84,8.98,142.0
1.0,2006.0,7.0,18.0,23.0,5405.31769,182.1,145,111,85,86,8.83,141.98125
1.0,2006.0,7.0,18.0,24.0,5206.977343,168.7,150,108,90,87,8.73,141.96875
1.0,2006.0,7.0,19.0,1.0,5062.315361,158.2,153,108,94,84,8.62,142.01875
1.0,2006.0,7.0,19.0,2.0,4951.838972,149.6,155,106,96,83,8.46,142.0125
1.0,2006.0,7.0,19.0,3.0,4842.723605,142.4,141,99,97,84,8.34,142.00625
1.0,2006.0,7.0,19.0,4.0,4711.053643,137.6,142,97,96,87,8.23,141.99375
1.0,2006.0,7.0,19.0,5.0,4568.549295,132.4,139,98,97,88,8.13,141.9875
1.0,2006.0,7.0,19.0,6.0,4435.839728,124.9,133,97,94,88,8.04,141.98125
1.0,2006.0,7.0,19.0,7.0,4327.93577,119.0,130,97,93,87,7.95,141.96875
1.0,2006.0,7.0,19.0,8.0,4237.374915,114.6,129,97,93,83,7.9,141.95625
1.0,2006.0,7.0,19.0,9.0,4151.076318,113.0,129,97,94,82,7.82,141.9375
1.0,2006.0,7.0,19.0,10.0,4057.88599,111.8,129,97,94,82,7.77,141.9125
1.0,2006.0,7.0,19.0,11.0,3954.357349,110.5,129,96,93,82,7.67,141.8875
1.0,2006.0,7.0,19.0,12.0,3838.970667,109.6,129,95,89,82,7.59,141.85625
1.0,2006.0,7.0,19.0,13.0,3712.538026,109.2,128,93,86,82,7.48,141.825
1.0,2006.0,7.0,19.0,14.0,3585.198754,108.8,128,91,80,81,7.35,141.7875
1.0,2006.0,7.0,19.0,15.0,3469.423987,107.2,126,89,76,80,7.25,141.74375
1.0,2006.0,7.0,19.0,16.0,3373.123471,105.3,125,88,72,79,7.14,141.69375
1.0,2006.0,7.0,19.0,17.0,3285.961383,103.2,121,86,71,78,7.02,141.6375
2.0,2006.0,7.0,25.0,24.0,323.9932666,0.0,0,1,0,0,2.93,134.44375
2.0,2006.0,7.0,26.0,1.0,323.1541383,0.0,0,2,0,0,2.91,134.425
2.0,2006.0,7.0,26.0,2.0,293.2403128,0.5,0,2,0,0,2.9,134.4
2.0,2006.0,7.0,26.0,3.0,261.1776776,1.5,0,3,0,0,2.89,134.38125
2.0,2006.0,7.0,26.0,4.0,256.3884027,2.6,1,4,1,1,2.88,134.3625
2.0,2006.0,7.0,26.0,5.0,279.3518813,4.0,2,4,2,2,2.88,134.34375
2.0,2006.0,7.0,26.0,6.0,319.8849692,5.4,6,5,3,3,2.88,134.325
2.0,2006.0,7.0,26.0,7.0,354.0971495,6.3,11,5,4,4,2.88,134.3
2.0,2006.0,7.0,26.0,8.0,363.6704345,6.6,11,7,4,6,2.88,134.275
2.0,2006.0,7.0,26.0,9.0,366.2843275,7.6,11,8,5,6,2.88,134.25
2.0,2006.0,7.0,26.0,10.0,381.6370858,9.8,11,11,5,7,2.9,134.23125
2.0,2006.0,7.0,26.0,11.0,401.5044924,11.9,11,11,7,9,2.91,134.2125
2.0,2006.0,7.0,26.0,12.0,412.0103746,14.8,13,11,11,11,2.91,134.19375
2.0,2006.0,7.0,26.0,13.0,404.5932134,15.3,15,12,16,15,2.91,134.175
2.0,2006.0,7.0,26.0,14.0,373.1862929,16.8,16,12,18,15,2.91,134.15625
2.0,2006.0,7.0,26.0,15.0,316.3874571,18.8,17,13,19,17,2.91,134.1375
2.0,2006.0,7.0,26.0,16.0,240.8780902,19.8,20,13,24,19,2.91,134.11875
2.0,2006.0,7.0,26.0,17.0,181.0091767,20.1,22,13,27,20,2.91,134.09375
2.0,2006.0,7.0,26.0,18.0,166.299166,20.2,22,13,29,20,2.92,134.06875
2.0,2006.0,7.0,26.0,19.0,179.2667662,20.4,22,13,29,20,2.92,134.03125
2.0,2006.0,7.0,26.0,20.0,196.8294717,20.5,22,13,30,20,2.92,133.975
2.0,2006.0,7.0,26.0,21.0,220.499666,20.6,22,13,30,21,2.92,133.9125
2.0,2006.0,7.0,26.0,22.0,252.1105763,20.9,22,13,31,21,2.92,133.8375
2.0,2006.0,7.0,26.0,23.0,270.1839179,21.1,22,13,31,21,2.92,133.75625
2.0,2006.0,7.0,26.0,24.0,257.205378,21.1,22,13,31,21,2.92,133.6625
2.0,2006.0,7.0,27.0,1.0,234.8280423,21.1,22,13,31,21,2.92,133.55625
2.0,2006.0,7.0,27.0,2.0,226.9954242,21.1,22,13,31,21,2.92,133.44375
2.0,2006.0,7.0,27.0,3.0,227.6453482,21.1,23,13,31,21,2.92,133.31875
2.0,2006.0,7.0,27.0,4.0,227.7229041,21.1,23,13,31,21,2.92,133.1875
2.0,2006.0,7.0,27.0,5.0,236.207931,21.1,23,13,31,21,2.93,133.05
2.0,2006.0,7.0,27.0,6.0,259.5719429,21.1,23,13,31,21,2.93,132.90625
2.0,2006.0,7.0,27.0,7.0,276.2184014,21.1,23,13,31,21,2.93,132.75
2.0,2006.0,7.0,27.0,8.0,266.3296492,21.3,23,13,31,21,2.93,132.5875
2.0,2006.0,7.0,27.0,9.0,245.2716026,21.3,23,13,31,21,2.93,132.41875
2.0,2006.0,7.0,27.0,10.0,233.6993571,21.3,23,13,31,21,2.93,132.25
2.0,2006.0,7.0,27.0,11.0,238.2411505,21.3,23,13,31,21,2.93,132.0875
2.0,2006.0,7.0,27.0,12.0,261.0953686,21.4,23,13,31,21,2.93,131.9375
2.0,2006.0,7.0,27.0,13.0,300.7678466,22.1,23,13,31,21,2.93,131.7875
2.0,2006.0,7.0,27.0,14.0,350.1921619,22.7,24,13,31,22,2.93,131.64375
2.0,2006.0,7.0,27.0,15.0,383.7054115,23.2,25,14,32,22,2.93,131.5
2.0,2006.0,7.0,27.0,16.0,378.6385249,24.0,25,14,32,22,2.93,131.3625
2.0,2006.0,7.0,27.0,17.0,342.8942437,24.6,29,14,32,22,2.93,131.23125
2.0,2006.0,7.0,27.0,18.0,295.1876479,24.9,31,19,32,22,2.93,131.1
2.0,2006.0,7.0,27.0,19.0,266.911359,27.4,31,23,32,22,2.93,130.975
2.0,2006.0,7.0,27.0,20.0,281.2130866,32.4,33,23,31,24,2.93,130.85
2.0,2006.0,7.0,27.0,21.0,315.5833503,35.7,39,24,37,29,2.93,130.73125
2.0,2006.0,7.0,27.0,22.0,348.4434234,38.4,56,25,37,28,2.92,130.6125
2.0,2006.0,7.0,27.0,23.0,407.5947841,40.7,65,28,37,27,2.91,130.50625
2.0,2006.0,7.0,27.0,24.0,526.4366021,45.4,72,29,36,26,2.9,130.40625
2.0,2006.0,7.0,28.0,1.0,711.3786063,50.7,80,31,36,27,2.89,130.31875
2.0,2006.0,7.0,28.0,2.0,961.3497556,54.8,93,32,38,25,2.89,130.2375
2.0,2006.0,7.0,28.0,3.0,1272.345368,58.5,103,49,34,26,2.89,130.15625
2.0,2006.0,7.0,28.0,4.0,1634.165801,62.5,106,56,29,27,2.95,130.08125
2.0,2006.0,7.0,28.0,5.0,2014.765212,72.1,116,62,27,26,3.04,130.0125
2.0,2006.0,7.0,28.0,6.0,2423.819747,79.7,116,72,26,47,3.18,129.95
2.0,2006.0,7.0,28.0,7.0,3059.7397,85.3,116,76,32,61,3.45,129.90625
2.0,2006.0,7.0,28.0,8.0,4066.954904,91.4,118,87,46,73,4.68,129.86875
2.0,2006.0,7.0,28.0,9.0,5185.239198,97.8,122,90,50,76,5.26,129.84375
2.0,2006.0,7.0,28.0,10.0,6094.171626,106.8,125,93,56,87,5.58,129.83125
2.0,2006.0,7.0,28.0,11.0,6637.208051,113.3,128,94,63,98,5.9,129.83125
2.0,2006.0,7.0,28.0,12.0,6750.333742,117.1,130,94,75,101,6.23,129.85
2.0,2006.0,7.0,28.0,13.0,6575.774762,120.7,135,96,95,107,6.55,129.8875
2.0,2006.0,7.0,28.0,14.0,6282.734169,123.6,139,100,96,110,6.88,129.95
2.0,2006.0,7.0,28.0,15.0,5942.082186,126.6,142,106,110,111,7.2,130.03125
2.0,2006.0,7.0,28.0,16.0,5600.405223,128.7,140,108,114,112,7.52,130.1375
