?�수?�상번호,???????�간,?�입???�역?�균강수,강우(A지??,강우(B지??,강우(C지??,강우(D지??,?�위(E지??,?�위(D지??,,,,
1,2006,7,11,8,1375.505161,62.8,46,64,52,63,4.46,122.80625
1,2006,7,11,9,1437.167338,63.1,48,63,51,63,4.71,122.875
1,2006,7,11,10,1502.804186,62.9,48,62,50,63,5.06,122.95
1,2006,7,11,11,1582.91069,62.7,48,61,51,62,5.27,123.025
1,2006,7,11,12,1676.198585,62,47,60,51,61,5.33,123.1
1,2006,7,11,13,1734.246617,61.3,46,60,51,60,5.34,123.175
1,2006,7,11,14,1714.092218,60.6,46,59,51,61,5.34,123.25625
1,2006,7,11,15,1641.740554,60,46,59,51,61,5.32,123.34375
1,2006,7,11,16,1560.438727,59.4,43,59,51,61,5.28,123.425
1,2006,7,11,17,1503.816413,59.2,42,59,51,61,5.23,123.50625
1,2006,7,11,18,1467.033586,59.1,42,59,51,61,5.18,123.58125
1,2006,7,11,19,1435.632793,59.1,42,59,51,61,5.14,123.6625
1,2006,7,11,20,1398.298088,59.1,42,59,51,61,5.1,123.7375
1,2006,7,11,21,1356.279548,59.1,42,59,51,61,5.06,123.81875
1,2006,7,11,22,1313.968753,59.1,42,59,51,61,5.02,123.9
1,2006,7,11,23,1275.609823,59.2,42,59,51,61,4.98,123.98125
1,2006,7,11,24,1244.857022,59.4,42,60,51,61,4.94,124.0625
1,2006,7,12,1,1225.217152,59.7,42,60,51,61,4.89,124.14375
1,2006,7,12,2,1218.195158,59.2,42,60,51,61,4.84,124.225
1,2006,7,12,3,1217.288567,58.9,42,60,50,61,4.79,124.3125
1,2006,7,12,4,1213.993045,58.9,43,61,48,61,4.73,124.4
1,2006,7,12,5,1201.361104,59.2,42,61,48,62,4.67,124.4875
1,2006,7,12,6,1178.672607,59.5,42,62,44,60,4.62,124.56875
1,2006,7,12,7,1146.764262,60,42,62,41,59,4.56,124.65
1,2006,7,12,8,1107.417108,60.6,42,62,39,57,4.51,124.7375
1,2006,7,12,9,1066.189518,61.3,42,63,33,55,4.46,124.81875
1,2006,7,12,10,1029.584203,62.8,44,66,31,54,4.42,124.90625
1,2006,7,12,11,1003.59915,67.4,47,72,29,51,4.38,124.9875
1,2006,7,12,12,992.2134611,73.5,50,86,24,49,4.34,125.075
1,2006,7,12,13,995.5887004,79.8,62,92,30,50,4.3,125.15625
1,2006,7,12,14,1000.635155,86.2,91,95,28,45,4.27,125.2375
1,2006,7,12,15,990.9502939,89.5,107,95,27,39,4.24,125.3125
1,2006,7,12,16,957.4227731,91.7,112,96,26,26,4.22,125.38125
1,2006,7,12,17,920.1060007,93.5,115,98,24,24,4.21,125.44375
1,2006,7,12,18,906.3445727,95.5,118,97,23,23,4.21,125.5
1,2006,7,12,19,941.8874633,97.2,120,96,22,22,4.25,125.55625
1,2006,7,12,20,1046.101159,101,122,96,22,21,4.37,125.60625
1,2006,7,12,21,1236.756525,104.6,145,94,22,21,4.6,125.65625
1,2006,7,12,22,1520.353654,105,154,91,21,20,5.02,125.7
1,2006,7,12,23,1858.309549,102.7,155,86,21,21,5.66,125.7375
1,2006,7,12,24,2200.770442,102.1,152,80,19,20,6.3,125.76875
1,2006,7,13,1,2511.200044,102.2,155,84,19,26,6.66,125.80625
1,2006,7,13,2,2806.331985,103.9,155,96,18,27,6.89,125.8375
1,2006,7,13,3,3116.217372,105.3,158,92,18,44,7.22,125.86875
1,2006,7,13,4,3452.600134,103.6,160,87,19,53,7.78,125.9
1,2006,7,13,5,3753.99548,102.6,169,88,19,54,8.3,125.9375
1,2006,7,13,6,3940.61144,101.7,172,87,19,55,8.56,125.975
1,2006,7,13,7,3967.231759,101.7,194,87,20,55,8.63,126.025
1,2006,7,13,8,3926.943038,101.9,200,86,20,54,8.62,126.0875
1,2006,7,13,9,3947.407595,102.7,201,86,20,55,8.59,126.1625
1,2006,7,13,10,4126.088131,103.2,203,85,20,57,8.58,126.25
1,2006,7,13,11,4439.64889,104.8,205,84,22,59,8.76,126.34375
1,2006,7,13,12,4834.5545,104.6,225,83,22,59,9.17,126.45
1,2006,7,13,13,5243.433493,103.7,225,82,25,59,9.68,126.56875
1,2006,7,13,14,5543.570004,103,227,81,25,59,10.04,126.7
1,2006,7,13,15,5632.572322,102.6,226,81,25,60,10.12,126.84375
1,2006,7,13,16,5544.689743,102.3,226,81,25,60,10.05,127
1,2006,7,13,17,5348.331817,103.6,241,88,25,60,9.88,127.16875
1,2006,7,13,18,5102.829996,106.6,239,88,25,61,9.78,127.35625
1,2006,7,13,19,4831.203347,108.3,239,88,32,69,9.45,127.54375
1,2006,7,13,20,4547.392841,108.9,241,88,33,74,9.17,127.75
1,2006,7,13,21,4264.156381,109.2,241,88,32,74,8.88,127.96875
1,2006,7,13,22,3989.51959,109.5,241,88,32,74,8.62,128.19375
1,2006,7,13,23,3730.32502,109.4,241,88,32,73,8.4,128.41875
1,2006,7,13,24,3492.29881,109.4,241,88,31,73,8.19,128.64375
1,2006,7,14,1,3276.701446,109.5,241,88,29,73,7.97,128.86875
1,2006,7,14,2,3083.677002,109.8,241,88,28,72,7.74,129.09375
1,2006,7,14,3,2913.301703,109.8,241,88,25,72,7.52,129.31875
1,2006,7,14,4,2765.380394,109.8,241,88,18,72,7.35,129.5375
1,2006,7,14,5,2639.650075,109.8,241,88,18,71,7.22,129.75
1,2006,7,14,6,2533.421938,109.8,241,88,18,67,7.07,129.9625
1,2006,7,14,7,2434.303935,109.8,241,88,18,62,6.91,130.16875
1,2006,7,14,8,2327.478212,109.9,241,87,18,62,6.74,130.36875
1,2006,7,14,9,2204.343678,109.9,241,87,18,59,6.57,130.55625
1,2006,7,14,10,2081.166295,109.8,241,87,18,59,6.43,130.73125
1,2006,7,14,11,1980.428786,109.6,241,87,18,59,6.29,130.9125
1,2006,7,14,12,1917.921884,109.3,241,86,17,59,6.16,131.075
1,2006,7,14,13,1882.668349,109,241,86,17,58,6.04,131.21875
1,2006,7,14,14,1856.99895,109.6,241,85,17,58,5.92,131.35625
1,2006,7,14,15,1829.918822,109.7,242,85,17,57,5.82,131.4875
1,2006,7,14,16,1817.13056,110,242,85,17,56,5.72,131.60625
1,2006,7,14,17,1833.079388,111.2,242,84,17,55,5.63,131.71875
1,2006,7,14,18,1860.483572,111.9,242,88,17,56,5.53,131.825
1,2006,7,14,19,1874.129638,111.8,250,82,16,50,5.46,131.9125
1,2006,7,14,20,1855.610625,111.6,247,72,16,49,5.4,132
1,2006,7,14,21,1813.74562,111.9,251,66,16,33,5.33,132.08125
1,2006,7,14,22,1764.160221,107.7,239,63,15,31,5.26,132.15
1,2006,7,14,23,1720.585244,102.1,213,67,15,31,5.19,132.20625
1,2006,7,14,24,1689.172367,96.4,197,66,15,37,5.17,132.25625
1,2006,7,15,1,1674.178489,93.6,192,66,15,45,5.15,132.3
1,2006,7,15,2,1678.137501,92,189,76,13,45,5.15,132.3375
1,2006,7,15,3,1696.691286,92.3,186,76,13,44,5.18,132.35625
1,2006,7,15,4,1723.758722,94.2,185,74,10,50,5.26,132.36875
1,2006,7,15,5,1752.552366,95.1,183,74,10,48,5.35,132.38125
1,2006,7,15,6,1773.459484,92.9,185,75,10,49,5.41,132.3875
1,2006,7,15,7,1776.161022,88.9,179,73,10,49,5.43,132.38125
1,2006,7,15,8,1754.674031,88,177,73,10,50,5.46,132.375
1,2006,7,15,9,1720.359987,88.2,177,65,10,49,5.49,132.3625
1,2006,7,15,10,1688.916475,86.9,172,49,4,49,5.5,132.34375
1,2006,7,15,11,1674.478443,86.3,173,48,3,49,5.5,132.33125
1,2006,7,15,12,1684.930304,82,169,50,3,48,5.52,132.30625
1,2006,7,15,13,1726.593837,77.6,165,57,3,40,5.6,132.28125
1,2006,7,15,14,1799.26964,83.5,161,61,3,35,5.82,132.25
1,2006,7,15,15,1876.673598,86.7,159,71,3,35,6.04,132.225
1,2006,7,15,16,1926.000417,94.6,153,107,3,38,6.14,132.19375
1,2006,7,15,17,1999.903357,104,171,122,3,45,6.17,132.1625
1,2006,7,15,18,2492.869896,113.3,168,126,7,54,6.27,132.125
1,2006,7,15,19,3744.195564,118,164,127,12,59,6.43,132.0875
1,2006,7,15,20,5530.573882,121.2,162,128,24,76,7.55,132.05
1,2006,7,15,21,7488.047869,122.2,216,128,24,77,9.91,132.00625
1,2006,7,15,22,9277.372727,123.9,215,129,25,79,12.03,131.9625
1,2006,7,15,23,10658.15238,124.8,212,129,28,81,13.42,131.93125
1,2006,7,15,24,11414.70295,126.3,212,139,30,82,13.72,131.90625
1,2006,7,16,1,11421.58913,130.3,212,144,31,82,13.73,131.9
1,2006,7,16,2,10914.37006,135.7,197,160,37,91,13.44,131.9125
1,2006,7,16,3,10218.85346,140.7,197,172,38,107,13.07,131.95625
1,2006,7,16,4,9634.043068,143.9,197,200,41,110,12.55,132.03125
1,2006,7,16,5,9351.726692,150.2,195,230,45,111,12.03,132.13125
1,2006,7,16,6,9536.888156,158.9,195,247,45,116,11.54,132.2625
1,2006,7,16,7,10306.82928,171.1,195,268,46,123,11.29,132.4125
1,2006,7,16,8,11588.12383,186.3,195,278,46,130,11.35,132.5875
1,2006,7,16,9,13259.6636,204.8,195,284,47,146,12.09,132.78125
1,2006,7,16,10,15180.11774,217.4,195,290,47,172,13.39,132.99375
1,2006,7,16,11,17127.26494,225,195,300,66,182,14.57,133.23125
1,2006,7,16,12,18858.6613,234.4,195,317,81,183,15.47,133.4875
1,2006,7,16,13,20174.20355,246.4,195,328,88,187,16.14,133.775
1,2006,7,16,14,21043.15105,261.6,195,339,101,202,16.46,134.09375
1,2006,7,16,15,21477.10381,274.2,195,346,115,217,16.53,134.44375
1,2006,7,16,16,21504.40226,285,195,350,131,221,16.54,134.825
1,2006,7,16,17,21220.34846,294.7,196,353,139,235,16.64,135.23125
1,2006,7,16,18,20718.7612,301,214,357,148,240,16.64,135.6625
1,2006,7,16,19,20020.56473,306.9,215,364,180,237,16.72,136.1
1,2006,7,16,20,19128.45963,314.5,218,366,190,243,16.6,136.55
1,2006,7,16,21,18050.90878,320.6,224,366,205,249,16.5,137.0125
1,2006,7,16,22,16819.42433,325.1,226,367,217,247,16.09,137.49375
1,2006,7,16,23,15471.28072,326.8,227,367,226,251,15.52,137.9875
1,2006,7,16,24,14052.67539,327.2,226,367,234,252,14.79,138.4875
1,2006,7,17,1,12645.49781,328.1,226,367,238,253,14.07,138.9875
1,2006,7,17,2,11340.56043,328.4,226,360,242,252,13.36,139.49375
1,2006,7,17,3,10209.59216,327.1,226,361,245,253,12.71,140
1,2006,7,17,4,9247.987689,326.2,217,358,246,253,12.1,140.5
1,2006,7,17,5,8432.058148,327.2,218,360,247,254,11.52,140.98125
1,2006,7,17,6,7739.424592,327.8,213,362,247,255,11.02,141.4375
1,2006,7,17,7,7152.947762,325,214,360,251,258,10.59,141.85625
1,2006,7,17,8,6656.798321,325.1,215,361,253,261,10.24,142.2375
1,2006,7,17,9,6236.714553,325.6,219,360,250,262,9.91,142.575
1,2006,7,17,10,5884.705227,326.2,222,352,243,259,9.57,142.86875
1,2006,7,17,11,5594.34673,327.3,225,354,231,252,9.33,143.125
1,2006,7,17,12,5358.497749,328.4,226,355,231,244,9.11,143.34375
1,2006,7,17,13,5167.14616,328.3,226,355,233,240,8.88,143.525
1,2006,7,17,14,5009.562135,325.4,228,354,231,228,8.72,143.6625
1,2006,7,17,15,4877.147403,323.3,203,355,234,228,8.54,143.7625
1,2006,7,17,16,4769.829906,321.6,200,352,235,226,8.41,143.83125
1,2006,7,17,17,4689.669141,321.3,199,349,229,224,8.25,143.875
1,2006,7,17,18,4635.525424,321.3,199,347,228,223,8.15,143.8875
1,2006,7,17,19,4593.462339,321,199,348,225,223,8.07,143.875
1,2006,7,17,20,4550.943123,321.1,197,348,222,215,7.93,143.84375
1,2006,7,17,21,4513.826347,320.9,201,342,226,200,7.81,143.8
1,2006,7,17,22,4492.569416,322.4,201,340,228,198,7.75,143.7375
1,2006,7,17,23,4495.458857,324.2,197,332,234,198,7.69,143.66875
1,2006,7,17,24,4522.097697,317.7,198,300,237,200,7.64,143.59375
1,2006,7,18,1,4569.918084,312.4,175,289,241,201,7.58,143.5125
1,2006,7,18,2,4635.176268,302.4,151,289,223,196,7.53,143.425
1,2006,7,18,3,4709.424905,290.7,155,293,209,182,7.49,143.33125
1,2006,7,18,4,4783.040753,281.8,159,297,204,157,7.5,143.23125
1,2006,7,18,5,4849.43107,280.6,164,302,192,148,7.59,143.13125
1,2006,7,18,6,4914.12512,281.7,97,306,182,153,7.71,143.025
1,2006,7,18,7,4985.682671,284.4,103,309,170,154,7.86,142.925
1,2006,7,18,8,5072.337093,284.8,108,302,169,148,8.04,142.825
1,2006,7,18,9,5181.016169,286.9,114,293,168,134,8.21,142.66875
1,2006,7,18,10,5318.321285,287.7,119,279,137,125,8.42,142.58125
1,2006,7,18,11,5485.279964,286.5,123,268,128,112,8.61,142.5
1,2006,7,18,12,5660.624275,283.3,127,241,114,102,8.81,142.425
1,2006,7,18,13,5817.512421,278.3,131,213,103,99,9.08,142.35
1,2006,7,18,14,5934.568725,272.9,132,196,97,94,9.22,142.2875
1,2006,7,18,15,6012.28199,266.4,134,177,92,89,9.3,142.23125
1,2006,7,18,16,6056.607138,258,137,169,87,84,9.34,142.18125
1,2006,7,18,17,6072.353858,246.7,140,165,85,80,9.34,142.1375
1,2006,7,18,18,6059.750906,232.6,141,159,82,78,9.31,142.1
1,2006,7,18,19,6017.881808,216.3,142,149,82,78,9.28,142.06875
1,2006,7,18,20,5942.290677,205.9,143,135,81,84,9.21,142.04375
1,2006,7,18,21,5814.363983,198.9,144,125,86,83,9.1,142.01875
1,2006,7,18,22,5623.501978,191.8,145,115,86,84,8.98,142
1,2006,7,18,23,5405.31769,182.1,145,111,85,86,8.83,141.98125
1,2006,7,18,24,5206.977343,168.7,150,108,90,87,8.73,141.96875
1,2006,7,19,1,5062.315361,158.2,153,108,94,84,8.62,142.01875
1,2006,7,19,2,4951.838972,149.6,155,106,96,83,8.46,142.0125
1,2006,7,19,3,4842.723605,142.4,141,99,97,84,8.34,142.00625
1,2006,7,19,4,4711.053643,137.6,142,97,96,87,8.23,141.99375
1,2006,7,19,5,4568.549295,132.4,139,98,97,88,8.13,141.9875
1,2006,7,19,6,4435.839728,124.9,133,97,94,88,8.04,141.98125
1,2006,7,19,7,4327.93577,119,130,97,93,87,7.95,141.96875
1,2006,7,19,8,4237.374915,114.6,129,97,93,83,7.9,141.95625
1,2006,7,19,9,4151.076318,113,129,97,94,82,7.82,141.9375
1,2006,7,19,10,4057.88599,111.8,129,97,94,82,7.77,141.9125
1,2006,7,19,11,3954.357349,110.5,129,96,93,82,7.67,141.8875
1,2006,7,19,12,3838.970667,109.6,129,95,89,82,7.59,141.85625
1,2006,7,19,13,3712.538026,109.2,128,93,86,82,7.48,141.825
1,2006,7,19,14,3585.198754,108.8,128,91,80,81,7.35,141.7875
1,2006,7,19,15,3469.423987,107.2,126,89,76,80,7.25,141.74375
1,2006,7,19,16,3373.123471,105.3,125,88,72,79,7.14,141.69375
1,2006,7,19,17,3285.961383,103.2,121,86,71,78,7.02,141.6375
2,2006,7,25,24,323.9932666,0,0,1,0,0,2.93,134.44375
2,2006,7,26,1,323.1541383,0,0,2,0,0,2.91,134.425
2,2006,7,26,2,293.2403128,0.5,0,2,0,0,2.9,134.4
2,2006,7,26,3,261.1776776,1.5,0,3,0,0,2.89,134.38125
2,2006,7,26,4,256.3884027,2.6,1,4,1,1,2.88,134.3625
2,2006,7,26,5,279.3518813,4,2,4,2,2,2.88,134.34375
2,2006,7,26,6,319.8849692,5.4,6,5,3,3,2.88,134.325
2,2006,7,26,7,354.0971495,6.3,11,5,4,4,2.88,134.3
2,2006,7,26,8,363.6704345,6.6,11,7,4,6,2.88,134.275
2,2006,7,26,9,366.2843275,7.6,11,8,5,6,2.88,134.25
2,2006,7,26,10,381.6370858,9.8,11,11,5,7,2.9,134.23125
2,2006,7,26,11,401.5044924,11.9,11,11,7,9,2.91,134.2125
2,2006,7,26,12,412.0103746,14.8,13,11,11,11,2.91,134.19375
2,2006,7,26,13,404.5932134,15.3,15,12,16,15,2.91,134.175
2,2006,7,26,14,373.1862929,16.8,16,12,18,15,2.91,134.15625
2,2006,7,26,15,316.3874571,18.8,17,13,19,17,2.91,134.1375
2,2006,7,26,16,240.8780902,19.8,20,13,24,19,2.91,134.11875
2,2006,7,26,17,181.0091767,20.1,22,13,27,20,2.91,134.09375
2,2006,7,26,18,166.299166,20.2,22,13,29,20,2.92,134.06875
2,2006,7,26,19,179.2667662,20.4,22,13,29,20,2.92,134.03125
2,2006,7,26,20,196.8294717,20.5,22,13,30,20,2.92,133.975
2,2006,7,26,21,220.499666,20.6,22,13,30,21,2.92,133.9125
2,2006,7,26,22,252.1105763,20.9,22,13,31,21,2.92,133.8375
2,2006,7,26,23,270.1839179,21.1,22,13,31,21,2.92,133.75625
2,2006,7,26,24,257.205378,21.1,22,13,31,21,2.92,133.6625
2,2006,7,27,1,234.8280423,21.1,22,13,31,21,2.92,133.55625
2,2006,7,27,2,226.9954242,21.1,22,13,31,21,2.92,133.44375
2,2006,7,27,3,227.6453482,21.1,23,13,31,21,2.92,133.31875
2,2006,7,27,4,227.7229041,21.1,23,13,31,21,2.92,133.1875
2,2006,7,27,5,236.207931,21.1,23,13,31,21,2.93,133.05
2,2006,7,27,6,259.5719429,21.1,23,13,31,21,2.93,132.90625
2,2006,7,27,7,276.2184014,21.1,23,13,31,21,2.93,132.75
2,2006,7,27,8,266.3296492,21.3,23,13,31,21,2.93,132.5875
2,2006,7,27,9,245.2716026,21.3,23,13,31,21,2.93,132.41875
2,2006,7,27,10,233.6993571,21.3,23,13,31,21,2.93,132.25
2,2006,7,27,11,238.2411505,21.3,23,13,31,21,2.93,132.0875
2,2006,7,27,12,261.0953686,21.4,23,13,31,21,2.93,131.9375
2,2006,7,27,13,300.7678466,22.1,23,13,31,21,2.93,131.7875
2,2006,7,27,14,350.1921619,22.7,24,13,31,22,2.93,131.64375
2,2006,7,27,15,383.7054115,23.2,25,14,32,22,2.93,131.5
2,2006,7,27,16,378.6385249,24,25,14,32,22,2.93,131.3625
2,2006,7,27,17,342.8942437,24.6,29,14,32,22,2.93,131.23125
2,2006,7,27,18,295.1876479,24.9,31,19,32,22,2.93,131.1
2,2006,7,27,19,266.911359,27.4,31,23,32,22,2.93,130.975
2,2006,7,27,20,281.2130866,32.4,33,23,31,24,2.93,130.85
2,2006,7,27,21,315.5833503,35.7,39,24,37,29,2.93,130.73125
2,2006,7,27,22,348.4434234,38.4,56,25,37,28,2.92,130.6125
2,2006,7,27,23,407.5947841,40.7,65,28,37,27,2.91,130.50625
2,2006,7,27,24,526.4366021,45.4,72,29,36,26,2.9,130.40625
2,2006,7,28,1,711.3786063,50.7,80,31,36,27,2.89,130.31875
2,2006,7,28,2,961.3497556,54.8,93,32,38,25,2.89,130.2375
2,2006,7,28,3,1272.345368,58.5,103,49,34,26,2.89,130.15625
2,2006,7,28,4,1634.165801,62.5,106,56,29,27,2.95,130.08125
2,2006,7,28,5,2014.765212,72.1,116,62,27,26,3.04,130.0125
2,2006,7,28,6,2423.819747,79.7,116,72,26,47,3.18,129.95
2,2006,7,28,7,3059.7397,85.3,116,76,32,61,3.45,129.90625
2,2006,7,28,8,4066.954904,91.4,118,87,46,73,4.68,129.86875
2,2006,7,28,9,5185.239198,97.8,122,90,50,76,5.26,129.84375
2,2006,7,28,10,6094.171626,106.8,125,93,56,87,5.58,129.83125
2,2006,7,28,11,6637.208051,113.3,128,94,63,98,5.9,129.83125
2,2006,7,28,12,6750.333742,117.1,130,94,75,101,6.23,129.85
2,2006,7,28,13,6575.774762,120.7,135,96,95,107,6.55,129.8875
2,2006,7,28,14,6282.734169,123.6,139,100,96,110,6.88,129.95
2,2006,7,28,15,5942.082186,126.6,142,106,110,111,7.2,130.03125
2,2006,7,28,16,5600.405223,128.7,140,108,114,112,7.52,130.1375
2,2006,7,28,17,5305.487236,131.1,144,110,121,115,7.74,130.2625
2,2006,7,28,18,5099.528712,134.1,149,107,123,118,8.06,130.40625
2,2006,7,28,19,5001.198688,135,153,107,126,122,8.39,130.56875
2,2006,7,28,20,5032.944622,134.1,156,108,130,123,8.76,130.75
2,2006,7,28,21,5255.859106,133.1,157,107,131,123,8.75,130.94375
2,2006,7,28,22,5681.877038,131.8,160,107,131,124,8.72,131.15625
2,2006,7,28,23,6087.657409,132.6,163,106,132,124,8.68,131.375
2,2006,7,28,24,6239.639908,131.3,167,106,132,126,8.59,131.60625
2,2006,7,29,1,6098.662915,130.4,164,106,132,126,8.5,131.84375
2,2006,7,29,2,5706.999567,130.9,162,106,133,127,8.39,132.09375
2,2006,7,29,3,5238.263323,132.1,162,107,136,127,8.27,132.35
2,2006,7,29,4,4871.484066,135.4,162,107,139,127,8.16,132.6125
2,2006,7,29,5,4676.017047,137.9,162,115,146,127,8.03,132.88125
2,2006,7,29,6,4710.62863,142.4,163,119,157,127,7.95,133.14375
2,2006,7,29,7,5101.40426,149,165,119,158,127,7.97,133.40625
2,2006,7,29,8,5905.210531,153.1,165,126,160,144,8.07,133.65
2,2006,7,29,9,6834.719532,157.5,169,127,160,156,8.31,133.8875
2,2006,7,29,10,7558.072984,163,169,128,159,156,8.58,134.11875
2,2006,7,29,11,7909.485615,169.5,179,128,160,168,9.22,134.35
2,2006,7,29,12,7818.601665,176.1,183,128,153,176,9.66,134.58125
2,2006,7,29,13,7430.710414,180.2,183,128,153,184,9.68,134.81875
2,2006,7,29,14,6928.135126,182.7,183,128,156,186,9.6,135.05
2,2006,7,29,15,6425.689982,184.3,183,128,157,188,9.46,135.29375
2,2006,7,29,16,5993.694874,185.5,183,128,159,192,9.35,135.54375
2,2006,7,29,17,5592.001649,186.6,183,128,157,194,9.21,135.8
2,2006,7,29,18,5172.359719,186.8,183,128,158,194,9.02,136.05625
2,2006,7,29,19,4764.576811,186.9,183,128,159,193,8.78,136.31875
2,2006,7,29,20,4406.145812,186.9,183,128,160,193,8.51,136.575
2,2006,7,29,21,4087.241935,186.9,183,128,160,192,8.24,136.83125
2,2006,7,29,22,3793.165584,186.8,183,128,149,190,7.98,137.0875
2,2006,7,29,23,3537.035585,186.1,182,127,132,189,7.75,137.33125
2,2006,7,29,24,3331.977677,185.5,181,127,126,166,7.52,137.58125
2,2006,7,30,1,3163.326817,185,181,127,120,148,7.32,137.83125
2,2006,7,30,2,3010.974073,184.2,177,122,112,136,7.12,138.075
2,2006,7,30,3,2860.825742,183.6,175,118,100,131,6.94,138.3125
3,2007,8,3,17,221.050131,11.4,6,6,0,1,2.64,129.3625
3,2007,8,3,18,209.9806227,11.4,6,6,0,1,2.63,129.3625
3,2007,8,3,19,200.3431661,12.1,6,6,0,1,2.62,129.3625
3,2007,8,3,20,192.3595756,12.2,6,6,0,0,2.62,129.3625
3,2007,8,3,21,185.3640845,12.5,6,6,1,0,2.61,129.3625
3,2007,8,3,22,178.5951288,12.8,6,6,1,0,2.6,129.3625
3,2007,8,3,23,171.8530416,12.8,6,6,1,0,2.59,129.3625
3,2007,8,3,24,165.2942756,13.6,6,7,1,0,2.58,129.35625
3,2007,8,4,1,159.1661743,15.1,6,7,1,0,2.58,129.35625
3,2007,8,4,2,153.8496211,16.1,7,7,1,0,2.57,129.35625
3,2007,8,4,3,149.853507,16.8,20,5,1,0,2.55,129.35625
3,2007,8,4,4,148.0652141,16.8,20,5,1,0,2.55,129.35625
3,2007,8,4,5,149.5454635,16.6,20,2,1,0,2.54,129.35625
3,2007,8,4,6,155.6698433,16.2,20,2,1,0,2.54,129.35
3,2007,8,4,7,168.1144548,14.1,20,1,1,0,2.53,129.35
3,2007,8,4,8,189.4425861,11.6,20,1,1,0,2.52,129.35
3,2007,8,4,9,221.4961625,10.6,18,1,1,3,2.52,129.3625
3,2007,8,4,10,262.3444714,10.3,17,1,1,3,2.52,129.375
3,2007,8,4,11,309.4154423,9.8,18,1,1,3,2.51,129.3875
3,2007,8,4,12,361.3442105,12.5,21,11,1,3,2.51,129.4
3,2007,8,4,13,416.9136332,18.3,26,11,1,3,2.51,129.4125
3,2007,8,4,14,474.2902475,22.8,35,15,1,17,2.51,129.41875
3,2007,8,4,15,532.3304131,27.7,39,26,1,26,2.54,129.43125
3,2007,8,4,16,593.2660985,34,44,31,1,26,2.58,129.44375
3,2007,8,4,17,659.6292737,43.3,55,32,3,39,2.62,129.44375
3,2007,8,4,18,731.7763037,45.7,64,32,11,46,2.66,129.45
3,2007,8,4,19,809.431484,46.3,67,32,33,47,2.74,129.45625
3,2007,8,4,20,891.9664351,47.3,68,32,35,48,2.89,129.4625
3,2007,8,4,21,979.3979909,48.1,71,33,35,48,3.18,129.46875
3,2007,8,4,22,1074.676514,49.6,71,33,35,48,3.77,129.475
3,2007,8,4,23,1180.901824,50.7,73,35,41,49,4.19,129.55625
3,2007,8,4,24,1298.838041,53.2,73,38,43,51,4.43,129.56875
3,2007,8,5,1,1429.29736,56.5,73,39,45,56,4.61,129.58125
3,2007,8,5,2,1575.61999,59.1,73,39,79,65,4.74,129.59375
3,2007,8,5,3,1741.588108,60.2,73,43,90,69,4.83,129.6125
3,2007,8,5,4,1930.223748,60.6,73,44,91,70,4.93,129.6375
3,2007,8,5,5,2142.9818,62.5,73,53,91,72,5.06,129.66875
3,2007,8,5,6,2375.808706,64.5,75,57,92,78,5.16,129.70625
3,2007,8,5,7,2621.980591,70,76,58,92,79,5.29,129.74375
3,2007,8,5,8,2869.600756,75.9,77,60,92,89,5.69,129.7875
3,2007,8,5,9,3105.020971,82.5,77,62,92,146,6.29,129.84375
3,2007,8,5,10,3312.759716,87.7,78,68,94,186,7.03,129.9
3,2007,8,5,11,3478.231719,93.5,78,70,95,204,7.7,129.96875
